"Grantmaker.Name","Grantmaker.State","Recipient.Name","Recipient.City","Recipient.State.Country","Primary.Subject","Year.Authorized","Grant.Amount","Support.Strategies","Description"
"Morley Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,1000,"","Health"
"Herman and Sharon Frankel Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,1000,"","To support the community"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2018,1000,"","A gift to the helen devos children&#039;s hospital in memory of richard &amp; helen devos."
"Sayed Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,1000,"","Charity"
"Lynn & Paul Alandt Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Specialty hospital care ",2018,1000,"","Beaumont hospital - grosse pointe"
"Liberty Mutual Foundation","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,930,"","Matching contribution"
"The Dennis and Nancy Gershenson Family Foundaton","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,600,"General support","GENERAL"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,500,"General support","General Support"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,500,"","Keith D. Kelley Fund for Neuroblastoma"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,500,"General support","General Support"
"Patrick and Christie Scoggin Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,500,"General support","Unrestricted"
"Sidney Katzman & Robert Katzman Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,500,"","Medical"
"Arrow Cares","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Child welfare ",2018,500,"General support","To provide general operating support."
"Allan W Chernick Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2018,500,"Research","Heart disease research"
"Rick and Judy Anderson Family Foundation","CO","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,500,"General support","General donation"
"Merle & Sheri Dewitt Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,300,"General support","UNRESTRICTED GRANT TO GENERAL FUND"
"The Baum Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,300,"","General contributions"
"Thrivent Financial for Lutherans Foundation","MN","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2018,250,"General support","General Support"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Cancers ",2018,250,"Research","Pediatric Cancer Research Program"
"Thrivent Financial for Lutherans","MN","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2018,250,"General support","General Support"
"Jack and Lija Romence Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,150,"","CHARITABLE"
"Cline Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,101,"","CHARITABLE"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,100,"","Matching Gift"
"Jpmorgan Chase Foundation","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,100,"General support","General operating support"
"Rogers Family Foundation Corporation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,100,"","Health and welfare"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,50,"","Matching Gift"
"Johnson & Johnson Foundation United States Inc","NJ","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,50,"","Contributions matching certain charitable contributions of employees of johnson &amp; johnson and its affiliated companies"
"Bank of America Charitable Foundation","NC","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,25,"","Program/operating support"
"Boyer Family Foundation","MI","Spectrum Health Foundation","Reed City","MI"," ",2018,NA,"","Susan wheatlake cancer center support"
"Feeding America West Michigan","MI","Corewell Health","Grand Rapids","MI","Community health care ",2018,NA,"","Fight hunger"
"Feeding America West Michigan","MI","Spectrum Health Worth Services","Grand Rapids","MI","Public health ",2018,NA,"","Fight hunger"
"William Beaumont Hospital","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,43190044,"General support","General assistance"
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,3365000,"General support","Unrestricted Grant to General Fund"
"United States Department of Health and Human Services","DC","Corewell Health","Grand Rapids","MI","Education ",2017,1979373,"Research","Cancer Research Consortium of West Michigan (CRCWM)"
"Kent Community Health Foundation","MI","Spectrum Health-Kent Community Campus","Grand Rapids","MI","Religion ",2017,1352291,"","Support of the SHKCC Mission"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,1098333,"Program support","Program Support"
"Barnabas Foundation","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,750600,"General support","General Support"
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,728500,"General support","Unrestricted Grant to General Fund"
"Douglas & Maria Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,728000,"General support","Unrestricted Grant to General Fund"
"The Carls Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Surgery ",2017,671250,"","SUPPORT FOR THE PURCHASE OF A ROBOTIC SURGICAL ASSISTANT FOR EPILEPTIC SURGERIES"
"Grosfeld Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,600000,"","UNRESTRICTED CHARITABLE GIFT"
"Michigan Health Endowment Fund","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,500000,"","STRONG BEGINNINGS"
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,450000,"General support","Unrestricted Grant to General Fund"
"Cdv5 Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,410000,"General support","Unrestricted Grant to General Fund"
"Wk Kellogg Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Child development ",2017,400000,"Equal access;Program support;Public engagement and education","Promote maternal-child health and the healthy development of black and Latino children in Grand Rapids by expanding community-based outreach, training and education efforts to assist parents and community partners in addressing racial disparities in birth and educational outcomes"
"The Qazi Foundation C/o Ciena Healthcare Management Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2017,400000,"","HELP BEAUMONT HOSIPTAL PROVIDE THE MOST EFFECTIVE AND COMPASSIONATE CARE TO ALL PATIENTS"
"United States Department of Health and Human Services","DC","Corewell Health","Grand Rapids","MI","Education ",2017,361744,"Research","Cancer Research Consortium of West Michigan (CRCWM)"
"Cystic Fibrosis Foundation","MD","Spectrum Health Foundation","Grand Rapids","MI","Health ",2017,327322,"","CF CARE CENTER"
"Gilbert Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,300000,"","SCIENTIFIC"
"Ted Lindsay Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,275000,"",""
"The Joshua-Jim and Eunice Stone Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,243000,"Research","FOR RESEARCH"
"Celani Charitable Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","In-patient medical care ",2017,225000,"","TO SUPPORT THE ADVANCEMENT OF CARDIAC TECHNOLOGY AND AID PATIENT CARE."
"Corewell Health Group Return","MI","Corewell Health","Grand Rapids","MI","Community health care ",2017,191523,"General support","General Support"
"Cystic Fibrosis Foundation Therapeutics Inc","MD","Spectrum Health Foundation","Grand Rapids","MI","Graduate and professional education ",2017,160118,"Research","CLINICAL RESEARCH CTR"
"Richard and Jane Manoogian Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,125000,"General support","Operating Fund"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Children's hospital care ",2017,100000,"","Helen Devos Children&#039;s Hospital Schools Program"
"John and Judy Spoelhof Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,100000,"General support","GENERAL OPERATIONS"
"Edward & Helen Mardigian Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,100000,"Emergency funds;General support","SUPPORT DAILY OPERATIONS"
"The June and Robert Gurwin Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,100000,"","CHARITABLE PURPOSES"
"For Kids' Sake Foundation Inc","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,100000,"","CANCER RESEARCH"
"Detroit & Wayne County Tuberculosis Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,92805,"","RESPIRATORY EQUIP"
"Richard & Barbara Gaby Foundation","GA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,70000,"","Mercy Children"
"Detroit & Wayne County Tuberculosis Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,66000,"","RESPIRATORY EQUIP"
"Detroit & Wayne County Tuberculosis Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,62370,"","RESPIRATORY EQUIP"
"Robert Wood Johnson Foundation","NJ","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,60000,"",""
"Gladys Friant Trust Under Will","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,57091,"General support","GENERAL OPERATING SUPPORT"
"HEART OF WEST MICHIGAN UNITED WAY","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,53815,"","Designation"
"Racingawareness-Com","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,53000,"General support","UNRESTRICTED GRANT TO GENERAL FUND"
"Michigan Center for Rural Health","MI","Corewell Health","Grand Rapids","MI","Education ",2017,52560,"Policy, advocacy and systems reform","SEE STATEMENT 1."
"Mayo Clinic","MN","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2017,51967,"","SUPPORT CHARITABLE PROGRAMS"
"Klopcic Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,50000,"","PROVIDE SUPPORT TO THE ORGANIZATION"
"Morgan Stanley Global Impact Funding Trust Inc","IN","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,50000,"General support","UNRESTRICTED GENERAL SUPPORT"
"Team Lafontaine U Can-Cer Vive","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,50000,"","TO SUPPORT THE ORGANIZATION&#039;S MISSION"
"Ferrantino Charitable Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,50000,"","CENTER FOR EXCEPTIONAL FAMILIESGENERAL FUND"
"Corewell Health","MI","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2017,45833,"","MEDICAL CARE"
"The Children's Hospital of Philadelphia","PA","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2017,45517,"Research","RESEARCH"
"Marvin and Betty Danto Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,45000,"","UNRESTRICTED CHARITABLE GIFT"
"Robert F Beard Charitable Foundat'n C/o James R Clark","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,45000,"General support","UNRESTRICTED GRANT"
"Seattle Childrens Hospital","WA","Spectrum Health Hospitals","Grand Rapids","MI","Education ",2017,41051,"Research","PEDIATRIC MEDICAL RESEARCH GRANT SUBAWARD"
"Child's Play","WA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,34800,"Program support","Program Services"
"Kutsche Charitable Trust","OH","Spectrum Health Foundation","Big Rapids","MI"," ",2017,33775,"","RESEARCH AND DIAGNOSTIC"
"Hemophilia Foundation of Michigan","MI","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2017,33324,"","MEDICAL SERVICES"
"THE GREENVILLE AREA COMMUNITY FOUNDATION","MI","Spectrum Health United Memorial Foundation","Greenville","MI","Community health care ",2017,33180,"","VARIOUS"
"YMCA","MI","Corewell Health","Grand Rapids","MI","Community health care ",2017,30892,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Addiction services ",2017,30000,"","Youth Tobacco Prevention Program"
"Trott Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2017,30000,"","GENERAL WELFARE"
"Robell Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,30000,"General support","SUPPORT"
"Molinello Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2017,30000,"","HEALTHCARE SUPPORT, COMMUNITY SUPPORT SERVICES"
"Natl Christian Charitable Foundation Inc","GA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,26350,"","POVERTY"
"Gillett Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,25000,"","HEALTH CARE"
"Grand Haven Area Community Foundation Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2017,25000,"Program support","PROGRAM SUPPORT"
